source,query,location_name,review_text,review_author,location_rating,location_address,url
Google Maps,cafes in Delhi,Triveni Terrace Cafe,"Triveni Terrace Café is a serene escape in the heart of Delhi, offering a peaceful and artistic ambience that easily earns a ⭐⭐⭐⭐⭐ rating. It’s the perfect place to relax with a book or catch up with friends in a calm, open-air setting. The …",sikandar khan,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,"It was a pleasant spot, offering a peaceful and green environment that felt like a world of its own. The food was decent, though not exceptional. The ambience was calm, clean, and well-maintained, making it a refreshing escape.
Keep an eye on the ongoing events!",Mohit Hambiria,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,"A good place to have meals. Generally there is a waiting period. Food was good. The price is decent, not cheap. The atmosphere is good. Worth a visit. Their palak patta chhat was ok. Cutlets were good. Himachali bhature were very good.",Manoj Agrawal,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,Nice place for art. Keep an eye on ongoing events. Food is really nice. Bit expensive but well worth the cost based on location and ambience. You are not allowed to use laptop inside the cafe. I liked stuffed idli and gun powder idly. All …,Ronit Gupta,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,"No doubt - a lovely place to sit in silence and green. A bit expensive for the food that's not special in any way. And by the way, terrace here is on the ground floor lawns. Seating area both indoors and out available",Harpreet S S,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,Great food great atmosphere and a chilled place with a lot of culture to enjoy and explore in this place! Must do. Institutions of food in Delhi.,Vidur Bharatram,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,"We really loved this place. Service was great, atmosphere was amazing and food was tasty as well. Everything we ordered was great, Vada pav, aloo tikki and masala tea. Only problem we faced was reaching to this place as the Google map …",Prashant Tiwari,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,"Visited Triveni cafe for the 1st time. Had heard a lot about it. It’s a very small cafe inside of the Triveni kala sangam on Mandi House. There was a waiting of 30 minutes. It opens at 10 am and closes at 7.30 pm. We ordered for tea, Palak …",Food Date,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,It was a nice place for artists. Food was nice nothing extraordinary. Ambience was peaceful. Neat and clean green environment. It altogether different world.,Taranjeet Kaur,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
Google Maps,cafes in Delhi,Triveni Terrace Cafe,"A Hidden Cultural Gem in the Heart of Delhi!
📍 Triveni Kala Sangam, Mandi House …",Parth Kapole,4.4,"205, Tansen Marg, Opp. FICCI Auditorium, Todermal Road Area, Mandi House, New Delhi, Delhi 110001",https://www.google.com/maps/place/Triveni+Terrace+Cafe/data=!4m7!3m6!1s0x390cfd2cf0a98581:0x9895419ecd5a641c!8m2!3d28.6272943!4d77.2326609!16s%2Fg%2F11bcf2spp7!19sChIJgYWp8Cz9DDkRHGRazZ5BlZg?authuser=0&hl=en&rclk=1
